session_id,persona,reference_query,best_prediction,best_pred_number,best_similarity,avg_similarity,ranked_predictions,all_similarities,best_sbert_similarity,avg_sbert_similarity,all_sbert_similarities
0,Student Researcher,Factors affecting the good harvest or rice,rice yield,3,0.1617,0.1224,rice yield | rice yield optimization | rice agricultural practices | rice yield climate change | climate change impact rice crop,P1=0.0935(Rank5) | P2=0.106(Rank4) | P3=0.1617(Rank1) | P4=0.1254(Rank2) | P5=0.1254(Rank3),0.6676,0.6095,P1=0.5869 | P2=0.5787 | P3=0.6676 | P4=0.5867 | P5=0.6275
1,Student Researcher,Werner endres straubing vorm obern tor,straubing vorm obern tor works,3,0.5803,0.3447,straubing vorm obern tor works | werner endres straubing publications | Werner endres straubing additional context | straubing works | straubing research paper,P1=0.1758(Rank4) | P2=0.4502(Rank2) | P3=0.5803(Rank1) | P4=0.1363(Rank5) | P5=0.3809(Rank3),0.7438,0.4422,P1=0.1679 | P2=0.5943 | P3=0.7438 | P4=0.1535 | P5=0.5514
2,Business & Economics Researcher,quality management,quality control products,1,0.2606,0.1042,quality control products | supply chain management | working capital works | key performance indicator | cost reduction strategies,P1=0.2606(Rank1) | P2=0.0(Rank3) | P3=0.0(Rank4) | P4=0.2606(Rank2) | P5=0.0(Rank5),0.6892,0.3956,P1=0.6892 | P2=0.2247 | P3=0.215 | P4=0.4918 | P5=0.3575
3,Student Researcher,Positional FLEXIBLE TALIPES,flexible talipes neonate symptoms,1,0.4112,0.2328,flexible talipes neonate symptoms | flexible talipes treatment options | neonatal talipes intervention methods | neonatal talipes flexibility studies | talonus equinovarus causes,P1=0.4112(Rank1) | P2=0.0(Rank5) | P3=0.1708(Rank3) | P4=0.1708(Rank4) | P5=0.4112(Rank2),0.7898,0.5235,P1=0.5575 | P2=0.1132 | P3=0.4767 | P4=0.6805 | P5=0.7898
4,Engineering & Tech Developer,Warehouse processes,warehouse management systems,2,0.2606,0.2445,warehouse management systems | warehouse process workflow | warehouse management software | warehouse operation efficiency solutions | warehouse operations optimization techniques,P1=0.2203(Rank4) | P2=0.2606(Rank1) | P3=0.2606(Rank2) | P4=0.2606(Rank3) | P5=0.2203(Rank5),0.8652,0.7855,P1=0.7605 | P2=0.8056 | P3=0.8652 | P4=0.755 | P5=0.7411
5,Student Researcher,Artificial intelligenc in agriculture,agriculture technology,4,0.2203,0.0782,agriculture technology | agriculture productivity optimization | productivity improvement techniques | agricultural applications of ai | agricultural precision farming ai,P1=0.1708(Rank2) | P2=0.0(Rank3) | P3=0.0(Rank4) | P4=0.2203(Rank1) | P5=0.0(Rank5),0.6808,0.5425,P1=0.5424 | P2=0.1568 | P3=0.6723 | P4=0.6601 | P5=0.6808
6,Sustainability & Climate Researcher,concrete carbon sequestration,concrete carbon sequestration materials,4,0.7765,0.4887,concrete carbon sequestration materials | concrete alternatives for carbon sequestration | carbon sequestration materials | exposed aggregate carbon sequestration techniques | concrete materials with high cary,P1=0.1506(Rank5) | P2=0.3563(Rank4) | P3=0.657(Rank2) | P4=0.7765(Rank1) | P5=0.5031(Rank3),0.946,0.7701,P1=0.4842 | P2=0.7185 | P3=0.9253 | P4=0.946 | P5=0.7767
7,Student Researcher,Patient centered care,patient centered care outcomes,2,0.7765,0.4362,patient centered care outcomes | patient care models implementations | collaborative patient care interventions | collaborative patient care models | collaborative patient outcome research,P1=0.4112(Rank2) | P2=0.7765(Rank1) | P3=0.4112(Rank3) | P4=0.1708(Rank5) | P5=0.4112(Rank4),0.9198,0.6283,P1=0.5307 | P2=0.9198 | P3=0.6091 | P4=0.5092 | P5=0.5728
8,Student Researcher,autonomous reflection in ai ai,autonomous reflection ai,5,0.8178,0.3742,autonomous reflection ai | ai ethics foundation | ai ethics framework | ai ethics officer role | ai ethics officer development,P1=0.2853(Rank2) | P2=0.2412(Rank4) | P3=0.2412(Rank5) | P4=0.2853(Rank3) | P5=0.8178(Rank1),0.92,0.4921,P1=0.3885 | P2=0.3812 | P3=0.372 | P4=0.3988 | P5=0.92
9,Engineering & Tech Developer,Trust-based ad hoc on-demand multipath distance vector routing in MANETs.,ad hoc position based routing,5,0.3677,0.1584,ad hoc position based routing | ad hoc routing protocol author works | position based routing with self signed locations | manet adhoc routing protocols | manet protocol implementation security analysis,P1=0.2203(Rank2) | P2=0.0797(Rank4) | P3=0.1244(Rank3) | P4=0.0(Rank5) | P5=0.3677(Rank1),0.5711,0.5207,P1=0.5254 | P2=0.5711 | P3=0.4516 | P4=0.4887 | P5=0.5669
