session_id,doc_variant,query_text,docnos,tfidf_terms,evidence
d19e7b4de358bcfeb89e06095dc26419,rel,peer to peer communication,"['33894675', '301010747', '300892348']","disability (0.130), peer peer (0.123), communication (0.102), team (0.092), learning (0.092)","Search query:
peer to peer communication

Important TF-IDF terms extracted from retrieved documents:
disability (0.130), peer peer (0.123), communication (0.102), team (0.092), learning (0.092)"
d19e7b4de358bcfeb89e06095dc26419,non_rel,peer to peer communication,"['294182816', '161854289', '310370055', '45476638']","learning (0.142), peer (0.129), students (0.101), looping (0.100), mentoring (0.091)","Search query:
peer to peer communication

Important TF-IDF terms extracted from retrieved documents:
learning (0.142), peer (0.129), students (0.101), looping (0.100), mentoring (0.091)"
00dea7cb26b0df14733b1aa2e48d4189,rel,wattpad reading comprehension,"['11012449', '151378454', '122513221']","respondents (0.153), attitude (0.095), class (0.082), application (0.082), use wattpad (0.077)","Search query:
wattpad reading comprehension

Important TF-IDF terms extracted from retrieved documents:
respondents (0.153), attitude (0.095), class (0.082), application (0.082), use wattpad (0.077)"
00dea7cb26b0df14733b1aa2e48d4189,non_rel,wattpad reading comprehension,"['304512725', '478191', '299291709', '293036332']","language (0.146), speed (0.097), reading comprehension (0.090), children (0.087), skills (0.086)","Search query:
wattpad reading comprehension

Important TF-IDF terms extracted from retrieved documents:
language (0.146), speed (0.097), reading comprehension (0.090), children (0.087), skills (0.086)"
69a3ac0c9cf2fb3bc0b2ceb56db2edfe,rel,synthetic biology nasa,"['78479327', '24774160', '292166320']","team (0.229), igem (0.178), brown (0.153), http (0.153), stanford (0.153)","Search query:
synthetic biology nasa

Important TF-IDF terms extracted from retrieved documents:
team (0.229), igem (0.178), brown (0.153), http (0.153), stanford (0.153)"
69a3ac0c9cf2fb3bc0b2ceb56db2edfe,non_rel,synthetic biology nasa,"['292415037', '294943814', '303404767', '43255135']","thermal (0.081), halomonas (0.079), metabolic (0.073), synthetic biology (0.067), biology (0.067)","Search query:
synthetic biology nasa

Important TF-IDF terms extracted from retrieved documents:
thermal (0.081), halomonas (0.079), metabolic (0.073), synthetic biology (0.067), biology (0.067)"
220b79bfcc0380e3999edb61a0c103f6,rel,artificial intelligence in education,"['291840325', '310133852', '157916873']","educational (0.161), content (0.092), reengineering (0.092), resources (0.087), reengineering educational (0.077)","Search query:
artificial intelligence in education

Important TF-IDF terms extracted from retrieved documents:
educational (0.161), content (0.092), reengineering (0.092), resources (0.087), reengineering educational (0.077)"
220b79bfcc0380e3999edb61a0c103f6,non_rel,artificial intelligence in education,"['301079578', '304517569', '77344804', '159772799']","ai (0.099), intelligence ai (0.098), arabic (0.081), vocational education (0.076), vocational (0.076)","Search query:
artificial intelligence in education

Important TF-IDF terms extracted from retrieved documents:
ai (0.099), intelligence ai (0.098), arabic (0.081), vocational education (0.076), vocational (0.076)"
d7121387aa077f9d346a6b5a0378e5c6,rel,procrastination among students,"['71854808', '136065883', '62441957']","academic (0.288), academic procrastination (0.145), student (0.101), college (0.101), self esteem (0.094)","Search query:
procrastination among students

Important TF-IDF terms extracted from retrieved documents:
academic (0.288), academic procrastination (0.145), student (0.101), college (0.101), self esteem (0.094)"
d7121387aa077f9d346a6b5a0378e5c6,non_rel,procrastination among students,"['309652034', '313263469', '297187738', '301304926']","academic (0.114), study (0.090), pekanbaru (0.082), la (0.081), smartphone (0.080)","Search query:
procrastination among students

Important TF-IDF terms extracted from retrieved documents:
academic (0.114), study (0.090), pekanbaru (0.082), la (0.081), smartphone (0.080)"
