1,test_user,0,Factors affecting the rice harvest,2025-06-03 15:51:34,"[55534, 77785249, 48124722, 50728809, 31345568, 37594490, 12806388, 41005759, 2922410]",0108e46112c4d3cd9653cc22c7530bac,"[('48124722', 'works'), ('48124722', 'works'), ('48124722', 'works')]"
2,test_user,0,Factors affecting the good harvest or rice,2025-06-03 15:53:31,"[12806388, 37589043, 41005759, 331067, 2956130, 37580859, 37574775, 78571683, 2632514, 123853256]",182a6ea0f695bf23b41ca0d998767475,[]
1,test_user,1,Werner endres straubing,2025-06-03 16:33:37,"[75779239, 5230467, 75780425, 132387992, 75907206, 158225749, 75906888, 62821117, 75780279, 62821296]",aca83ce6f727f2d99997ea40cb2b2c58,[]
2,test_user,1,Werner endres straubing vorm obern tor,2025-06-03 16:34:20,"[75779239, 75780378, 4928813, 75781014, 121924282, 75780587, 75781001, 19614584, 75781397, 75781360]",f9b221119290d379bbca71f294d4cf28,"[('4928813', 'works')]"
1,test_user,2,working capital management,2025-06-13 16:24:00,"[44664138, 52451055, 135981204, 62996787, 63108634, 51744537, 2660946, 31089636, 2625077]",5de3cf7e4b17855d4320c64bdbe053b0,[]
2,test_user,2,quality management,2025-06-13 16:25:10,"[38541199, 5752788, 69597101, 38434482, 69597887, 69597066, 69597339, 38434481, 69596751, 69597365]",85f09279e139c0feff5342897281ebe7,"[('38541199', 'works')]"
1,test_user,3,"positional flexible movable talipes, neonate, muscles imbalance, tightness",2025-06-15 21:23:38,"[39964114, 149188390]",67a8563b22b930b6da65c19fa71e5e77,[]
2,test_user,3,Positional FLEXIBLE TALIPES,2025-06-15 21:25:52,"[7651934, 41326039, 41325260, 41324619, 41325984, 41325252, 41325345, 41325035, 41325105, 41324964]",69ff3ca78ee68232dd49b8e7b6f5626e,"[('41324619', 'works')]"
1,test_user,4,Warehouse operations processes,2025-06-04 09:36:56,"[46831904, 160973388, 85462242, 4824569, 17701379, 40075301, 78576646, 16114487, 349431]",f4366c370c5699b74b258b5af81d2e73,[]
2,test_user,4,Warehouse processes,2025-06-04 09:37:50,"[78576646, 2860709, 2593311, 128152194, 158277145, 31468796, 24349563, 85462242]",bc95cd8b7ef72984a0f417b4e4ce09ae,"[('78576646', 'works')]"
1,test_user,5,Artificial intelligence in improving productivity in agriculture,2025-06-04 10:03:46,"[169011447, 18503730, 160650872, 8802431, 63899836, 37988359, 85861345, 8868361, 77568206, 40073950]",acdb6a25bb4ddbb04250b44012196b1b,"[('63899836', 'works')]"
2,test_user,5,Artificial intelligenc in agriculture,2025-06-04 10:05:02,"[14382279, 131699714, 2569595, 46141388, 68172669, 157141159, 126812366, 82282391, 85004725, 130301383]",b36567515e5c90e535fb635cfce18681,[]
1,test_user,6,exposed aggregate concrete carbon sequestration process,2025-06-16 13:04:42,"[81748675, 23012993, 8034068, 9557396, 8680761, 50536011, 7796061, 71884915, 8416152]",1743cc12a6c9aabb8a7b81ca98836ba1,[]
2,test_user,6,concrete carbon sequestration,2025-06-16 13:08:29,"[124931004, 18521957, 235819, 159755548, 81748675, 67794469, 81749542, 18495769, 19204803, 81793170]",ee91440f819e550e81c8abf9178be585,"[('159755548', 'works'), ('124931004', 'works'), ('81749542', 'works')]"
1,test_user,7,How the crowd can change collaborative work in patient care,2025-06-16 15:31:12,"[8714994, 26700448, 19215401, 26703346, 44531299, 37001343, 26706762]",dc20cde9866714f959e27fd9e32612f0,[]
2,test_user,7,Patient centered care,2025-06-16 15:32:23,"[136664587, 8804587, 85865862, 9464632, 85612122, 40319294, 140476924, 85867129, 7317870, 41664331]",6eecaf7e83d23eaae82c8ec05a76f14e,"[('8804587', 'works')]"
1,test_user,8,AI ethics officer,2025-06-04 17:31:05,"[8853099, 85780306, 54539647, 71906320, 41632869, 255492, 36992419, 8753741]",a5c78768504ed245e1b5667bb8fe9345,"[('85780306', 'works')]"
2,test_user,8,autonomous reflection in ai ai,2025-06-04 17:33:57,"[18754955, 8462689, 1082062, 24764387]",06b9270c1af46cf5143581e085069caf,[]
1,test_user,9,A Secure Location Service for Ad Hoc Position-Based Routing Using Self-signed Locations,2025-06-17 19:05:30,"[692793, 17038682, 728797, 18985683, 276484284, 136577800]",2d79a97f9d64071ae09ba3e9ed853510,[]
2,test_user,9,Trust-based ad hoc on-demand multipath distance vector routing in MANETs.,2025-06-17 19:08:02,"[70314990, 276484239, 150665502]",614c082d7269c1560cc7247a08a93a4b,"[('150665502', 'author'), ('150665502', 'author'), ('276484239', 'author'), ('276484239', 'works')]"
1,test_user,10,Optimal selection of speech data for automatic speech recognition systems.,2025-06-17 23:00:46,"[674530, 39079500, 42965697, 16114441, 31249103, 54167662, 42873585]",11629215d13d309291b5461904287472,"[('54167662', 'works'), ('39079500', 'author'), ('42873585', 'author'), ('42873585', 'author'), ('39079500', 'author'), ('39079500', 'author'), ('39079500', 'author'), ('39079500', 'author'), ('39079500', 'author'), ('42965697', 'author'), ('31249103', 'author'), ('54167662', 'author'), ('54167662', 'author')]"
2,test_user,10,Interference of speech recognition feedback during diagnostic tasks.,2025-06-17 23:05:32,"[18456543, 539137, 42966249, 24898784, 257308, 17397425, 8016562, 54947640, 8136075]",e77e9ee4736b31ff055d79998c0e05a9,[]
1,test_user,11,Effective Predictive Current Control for a Sensorless Five-Phase Induction Motor Drive,2025-06-18 07:37:26,"[8364634, 8789863, 8363511, 16171733, 36225748, 28466013, 139507678, 134996370, 8316649, 28483820]",0f1c917d8fe281b0073c9921353ae906,"[('8364634', 'works')]"
2,test_user,11,Induction motor fault detection and diagnosis using a current state space pattern recognition.,2025-06-18 07:38:50,"[41648632, 8753151, 15030671, 29050805, 29022877, 53977593, 29054307]",9b813a24ef740ec67386ef551381c0c2,[]
1,test_user,12,maintenance optimization,2025-06-05 08:10:30,"[30777450, 2623046, 3020195, 2604831, 81793421, 18611431, 7634399, 4468339]",e6143d1e0521a3ff3cd54b6b63b5a780,[]
2,test_user,12,maintenance planning optimization,2025-06-05 08:11:06,"[2623046, 28536740, 2411673, 47507774, 24873011, 2623248, 24870802, 8316797]",e5fa4ecedc2713bd844e31aa9a5c8bc4,"[('2623046', 'works')]"
1,test_user,13,Art in Bar,2025-06-18 14:50:40,"[749329, 24756379, 33905020, 45153276, 44608693, 45953048, 18065061, 950588]",8dcb75036399a026a31c59ad2ce3b502,"[('950588', 'author'), ('950588', 'author'), ('44608693', 'works'), ('950588', 'author'), ('749329', 'author'), ('749329', 'author'), ('24756379', 'author'), ('950588', 'author'), ('950588', 'author'), ('24756379', 'works'), ('950588', 'author'), ('950588', 'works'), ('45153276', 'works'), ('24756379', 'author'), ('44608693', 'author'), ('950588', 'author'), ('45153276', 'author'), ('18065061', 'author'), ('950588', 'author'), ('950588', 'author'), ('950588', 'author'), ('45953048', 'author'), ('950588', 'author'), ('45153276', 'author'), ('24756379', 'author'), ('44608693', 'author')]"
2,test_user,13,hinderance of art renaissance,2025-06-18 14:53:05,"[267618, 47138969, 36653090, 82805871, 160931039, 71183799, 53891546, 34028308, 133312274, 163316871]",83c157b025cb12889a2ffdcc59cd8b2c,[]
3,test_user,13,hinderance of fine art renaissance,2025-06-18 14:53:20,"[36653090, 82805871, 34028308, 31005565, 62496084, 163316871, 174756941, 160442147, 120121813, 43437773]",a7f8e46af7a32c8baba7f9e520507031,"[('36653090', 'works')]"
1,test_user,14,formula sae front wing,2025-06-18 22:56:28,"[69676936, 24890139, 36770146, 76743972, 8361574, 132411911, 45206010, 24924306]",4a100c31c6b32295f0e762453449616d,"[('69676936', 'works'), ('24890139', 'works'), ('36770146', 'works'), ('132411911', 'works')]"
2,test_user,14,romula student front wing,2025-06-18 22:56:58,"[37494378, 96722539, 68614470, 66881411, 63499791, 125763313, 10652859, 145144191, 19089300, 45245742]",bddd1c199662d339dce99210f05ee7b7,[]
3,test_user,14,formula student front wing,2025-06-18 22:57:20,"[127404940, 16149775, 121263698, 166089098, 40045205, 159763994, 59425461, 95340063, 24907599, 9453350]",a77e390bb3640e9dbe5e13c997e123b2,"[('127404940', 'works')]"
1,test_user,15,peer teaching,2025-06-19 01:34:10,"[267437, 62019, 10723775, 18452964, 8803964, 5978282, 4652509, 4085506, 23052805]",c1f72ea8538ded032f2cdc4833aae18f,"[('267437', 'works')]"
2,test_user,15,peer tutoring,2025-06-19 01:34:47,"[8803963, 33890005, 46592885, 33908141, 5232587, 33912533, 25514214, 3146584]",bde5a6cbd3108769fd3576150ddb7e18,"[('8803963', 'works')]"
1,test_user,16,Strategy Department retail merchandiser,2025-06-19 15:37:25,"[2956182, 2588800, 2696296, 2729712, 2906702, 2632561, 2921113, 213099, 2537441, 2916836]",82487b8df1e8d87596a82353c7783957,"[('2906702', 'works')]"
2,test_user,16,Strategy Department food retail,2025-06-19 15:37:30,"[51423804, 51750204, 4399675, 51751496, 85974488, 68373871, 149185593, 7795919, 37589157, 37583923]",95b9a20a7d5599fb73d3209a02dca540,[]
1,test_user,17,The Placement Evolution of Information Systems Graduates.,2025-06-20 04:30:33,"[12360296, 2688411, 25070349, 43891811, 2672924, 67795651, 2695007, 77892279, 2507454]",23516bc0a363c33c5dece73816f85f60,"[('2688411', 'works'), ('2672924', 'author'), ('2688411', 'author'), ('2688411', 'author'), ('67795651', 'author'), ('67795651', 'author'), ('43891811', 'author'), ('25070349', 'author'), ('43891811', 'author'), ('2507454', 'works'), ('2695007', 'author')]"
2,test_user,17,On category theory as a (meta) ontology for information systems research.,2025-06-20 04:31:45,"[24770863, 7903240, 7985907, 344582, 5233920, 267106]",b07d4e8d240865636546e461133f5612,[]
1,test_user,18,Tibetan Plateau BN-600,2025-06-20 14:09:03,"[18495082, 8763482, 24908834, 18571159, 8257836, 40777451, 8251170, 40679485, 59059809, 17423156]",65f96d180a14f24efc16e548cb4b1383,"[('8763482', 'works'), ('18495082', 'works')]"
2,test_user,18,CCP BN-600,2025-06-20 14:10:24,"[18888252, 24879558, 5177041, 5104096, 18893082, 8016929, 2493091, 231542]",dce209dda5f76e251064afd39c900dac,[]
1,test_user,19,Adaptive multi-step differential transformation method to solving nonlinear differential equations.,2025-06-20 14:25:28,"[866158, 2399885, 49554446, 45151839, 1091500, 40921644, 23090657]",33ae11d068f78eee87b00498b2f4c9e0,"[('866158', 'author'), ('45151839', 'author'), ('1091500', 'author'), ('1091500', 'author'), ('1091500', 'author'), ('1091500', 'author'), ('49554446', 'author'), ('866158', 'author'), ('23090657', 'author'), ('1091500', 'author'), ('1091500', 'author'), ('1091500', 'author'), ('1091500', 'author'), ('2399885', 'author'), ('1091500', 'author'), ('1091500', 'author'), ('1091500', 'author'), ('40921644', 'author'), ('1091500', 'author'), ('1091500', 'author')]"
2,test_user,19,Generalized quasilinearization for fractional differential equations.,2025-06-20 14:27:13,"[24812049, 24950274, 24954870, 45549037, 120134758, 120134788, 24956320]",49ec79b7275974e0fb4e79084866583f,[]
1,test_user,20,McMahon Line liquid sodium cooled fast neutron reactor,2025-06-20 14:32:27,"[8035496, 18906981, 59965410, 24893656, 128014029, 56573098, 160132467, 9332851, 71210488, 48194115]",f707d408a0a595b8db2be754b0cbb637,[]
2,test_user,20,Chinese Communist Party liquid sodium cooled fast neutron reactor,2025-06-20 14:32:29,"[132843102, 128014029, 159819127, 162482485, 56766084, 135865682, 55342596, 159819084, 56140594, 152714200]",15c8e49c1e470008dcbd408d8536b955,"[('159819084', 'works')]"
1,test_user,21,Computational analysis of a flexible assembly system design problem.,2025-06-20 18:20:31,"[25826790, 2406068, 4762994, 54157747]",28ac07a8fd826ba145df2c2f7041f596,"[('54157747', 'author'), ('25826790', 'author'), ('4762994', 'author'), ('4762994', 'author'), ('2406068', 'author'), ('54157747', 'author'), ('4762994', 'author'), ('2406068', 'author')]"
2,test_user,21,Multiple rules with game theoretic analysis for flexible flow shop scheduling problem with component altering times.,2025-06-20 18:25:02,"[173359866, 24858580, 5792528, 143789219, 25069259, 124874008, 82004041]",4f35e41fea9b6d60c2fdf6fe42ff7e91,[]
1,test_user,22,The economy of collective attention for situated knowledge collaboration in software development.,2025-06-21 04:44:38,"[257358, 8058149, 2833970, 267371, 2757690, 234042, 4875633, 572331, 235466, 4570959]",f7f2d86e9c105a4498f2e625f71a3098,"[('234042', 'author'), ('234042', 'author'), ('234042', 'author'), ('234042', 'author'), ('234042', 'author'), ('235466', 'works'), ('234042', 'author'), ('234042', 'author'), ('234042', 'author'), ('4570959', 'author'), ('4570959', 'author'), ('234042', 'author'), ('234042', 'author'), ('234042', 'author'), ('234042', 'author'), ('4875633', 'author'), ('4875633', 'author'), ('234042', 'author'), ('2757690', 'author'), ('572331', 'author'), ('234042', 'author'), ('234042', 'author'), ('234042', 'author'), ('267371', 'works'), ('234042', 'author'), ('234042', 'author'), ('8058149', 'author')]"
2,test_user,22,Syde: a tool for collaborative software development.,2025-06-21 04:45:10,[],456d7e7f96cb39de8b4869efaaa34a6f,[]
1,test_user,23,Renal Gene Expression Database (RGED): a relational database of gene expression profiles in kidney disease.,2025-06-21 05:05:59,"[37884938, 8208786, 8207532, 8138422, 142082359, 61093999, 83614689, 73668875, 145998849]",e7db280b3f77b21b0b95bdf03716706b,"[('73668875', 'author'), ('8207532', 'works'), ('37884938', 'author'), ('73668875', 'author'), ('8207532', 'author'), ('8138422', 'author'), ('142082359', 'works'), ('8208786', 'author'), ('8138422', 'author'), ('73668875', 'author'), ('73668875', 'author'), ('73668875', 'works'), ('37884938', 'author'), ('8207532', 'author'), ('142082359', 'author'), ('8207532', 'author'), ('37884938', 'works'), ('8138422', 'works'), ('8138422', 'author'), ('8208786', 'author')]"
2,test_user,23,Integrative pathway analysis of genome-wide association studies and gene expression data in prostate cancer.,2025-06-21 05:07:00,"[69033790, 85859970, 8697393, 39762519, 8753370, 85863956, 40692507]",c7e66b4abe193c03d2d022a587dcc28f,[]
1,test_user,24,An integrated system for intelligent seam tracking in robotic welding. II. Design and implementation.,2025-06-21 13:02:57,"[163202672, 78584915, 169309222, 163184184, 18097688, 10929912, 347690]",98adca9b0e87ae9c6d0e29379a7b864d,"[('18097688', 'author')]"
