session_id,num_queries,queries,first_query,all_queries
d19e7b4de358bcfeb89e06095dc26419,1,['peer-to-peer communication'],peer-to-peer communication,peer-to-peer communication
00dea7cb26b0df14733b1aa2e48d4189,1,['wattpad reading comprehension'],wattpad reading comprehension,wattpad reading comprehension
69a3ac0c9cf2fb3bc0b2ceb56db2edfe,1,['synthetic biology nasa'],synthetic biology nasa,synthetic biology nasa
220b79bfcc0380e3999edb61a0c103f6,1,['artificial intelligence in education'],artificial intelligence in education,artificial intelligence in education
d7121387aa077f9d346a6b5a0378e5c6,1,['procrastination among students'],procrastination among students,procrastination among students
71d9a4b88d17a62c956686dfb02a01fe,1,['cannabis'],cannabis,cannabis
4a9bc9a79372406264b38f180fbdf242,1,['asphalt engine oil'],asphalt engine oil,asphalt engine oil
a5c587bb204cb34e669e171074b6cf60,1,['Which feeding pattern most strongly predicts eligibility for biomarker-based treatment?'],Which feeding pattern most strongly predicts eligibility for biomarker-based treatment?,Which feeding pattern most strongly predicts eligibility for biomarker-based treatment?
0311e191f7a1e1d2ee53d824a45c720f,1,"['relationship between financial literacy, financial stress and academic success']","relationship between financial literacy, financial stress and academic success","relationship between financial literacy, financial stress and academic success"
0e843d35dd1893ccc26b00ab27189a4a,1,['theories about meco waste and coconut shell'],theories about meco waste and coconut shell,theories about meco waste and coconut shell
c7f4279af1b23758d6477607a2bbcefa,1,['balance in business profit and environmental sustainability'],balance in business profit and environmental sustainability,balance in business profit and environmental sustainability
0da32d60e3d3eb1c1ac82963dd1c3b57,1,['vitamin b12'],vitamin b12,vitamin b12
34d9a1bb0ba98481c5cc096ca817b7b2,1,['virtual tour'],virtual tour,virtual tour
ecf8a42af61b9c2e9a23365128390266,1,['the psychological factor affecting student entrepreneur'],the psychological factor affecting student entrepreneur,the psychological factor affecting student entrepreneur
bde93b8e8293890c7cbf1a42fbfede2b,1,['green roof'],green roof,green roof
6d8e8990e464b9bfbe52609cd40ac00b,1,['political science'],political science,political science
9c64c59a7a6aadb5f0ec8252e0df99aa,1,['mnemonic device agent-based modeling'],mnemonic device agent-based modeling,mnemonic device agent-based modeling
785b9784a0ed573bc3e4c38addb767f5,1,['How can hands-on projects and simulations be combined to maximize physics critical thinking?'],How can hands-on projects and simulations be combined to maximize physics critical thinking?,How can hands-on projects and simulations be combined to maximize physics critical thinking?
5de7dd868fe0c5a2930a2ab347ec4fbf,1,['community policing'],community policing,community policing
fbe6a289dc137d81b5b0b768bffeb450,1,['effectiveness'],effectiveness,effectiveness
ef3ddfa96d252a408f89cc5c977464e4,1,['Which feature of trial-supported products most aids scalable adoption in understaffed settings?'],Which feature of trial-supported products most aids scalable adoption in understaffed settings?,Which feature of trial-supported products most aids scalable adoption in understaffed settings?
6172609153797fcc6bb5c7a412a22a0b,1,['matatag curriculum'],matatag curriculum,matatag curriculum
180b7026c3f14190c7aadabec96e1268,1,['impact of tiktok in students academic'],impact of tiktok in students academic,impact of tiktok in students academic
d758afb29213ad1c04bf53c7bda2a3ad,1,['john webster satire duchess of malfi'],john webster satire duchess of malfi,john webster satire duchess of malfi
cca3dd5aa311bc7a728839dd6fa4321b,1,['What design choice helps scale short‑term participant benefits into sustained community‑level change?'],What design choice helps scale short‑term participant benefits into sustained community‑level change?,What design choice helps scale short‑term participant benefits into sustained community‑level change?
3f0c797d1b9ad16c64d4e0ef3aeec05a,1,['academic stress'],academic stress,academic stress
21cae2e64e92320ca34161360b16d7c7,1,['war correspondent'],war correspondent,war correspondent
646c9d86471ed8171432eb721b3adb7e,1,['blockchain'],blockchain,blockchain
cd8168171beff566fc1609c9dd080cd2,1,['How do local cultural liaisons and on-site professionals interact to improve remote mental healthcare sustainability?'],How do local cultural liaisons and on-site professionals interact to improve remote mental healthcare sustainability?,How do local cultural liaisons and on-site professionals interact to improve remote mental healthcare sustainability?
214e0e6a764e36edddccb487e9412d52,1,['global warming'],global warming,global warming
76792feec3056517ffbd2f3c6928b784,1,['harnessing wind energy'],harnessing wind energy,harnessing wind energy
5f5bdfe2819916c5252ef19275536204,1,['electromagnetic spectrum'],electromagnetic spectrum,electromagnetic spectrum
adb15e7efac1c2c98a9e7c583f4bf050,1,['influence'],influence,influence
3b175cfd5b7ae22194d40af13f9a7ee7,1,['stand up comedy'],stand up comedy,stand up comedy
3fb37f11fe7ce75db465d18b9cc0705c,1,['How consistent are learning gains from a case-focused instructional approach across different high schools?'],How consistent are learning gains from a case-focused instructional approach across different high schools?,How consistent are learning gains from a case-focused instructional approach across different high schools?
c1b455cf331dc5b1058e63bf0dee8e14,1,['wind energy'],wind energy,wind energy
4880fdf7ff336b249af928cf93f43f0a,1,['peer pressure'],peer pressure,peer pressure
2cec90ec702158ed195d56177d214a9e,1,['financial literacy'],financial literacy,financial literacy
a0f8eaa665af3ffc3717c28c4834898a,1,['nursing management for neonate'],nursing management for neonate,nursing management for neonate
f4b02d3f35058a4d09ec206622895aa3,1,['outdoor advertising'],outdoor advertising,outdoor advertising
131c00aafe71bd5de7aa945c760b925a,1,['graphic design'],graphic design,graphic design
df24a211285559b6e15848444e8636a4,1,['bio synthesis and regulation'],bio synthesis and regulation,bio synthesis and regulation
8e23ebe4f08a48825befb7b5f565a0a5,1,['hydrogen evolution reaction'],hydrogen evolution reaction,hydrogen evolution reaction
2e9bc31b76b5c3a18da0ba5a0e9e9852,1,['What role should personality measures play alongside biochemical indicators when inferring historical brain injury?'],What role should personality measures play alongside biochemical indicators when inferring historical brain injury?,What role should personality measures play alongside biochemical indicators when inferring historical brain injury?
e159a48a232aaf04a668309a7e5ef484,1,['risk communication discourse'],risk communication discourse,risk communication discourse
d6e9712bf4d78dc25582d46273456358,1,['fake news'],fake news,fake news
ddc6aa40837e166470aa10b3679690b1,1,['diarrhea'],diarrhea,diarrhea
e7d459e21ee2edfdab9efe9aaf3481a9,1,['ms general surgery dissertation submitted to mgr medical university chennai'],ms general surgery dissertation submitted to mgr medical university chennai,ms general surgery dissertation submitted to mgr medical university chennai
