qid,query,description,narrative
d19e7b4de358bcfeb89e06095dc26419,peer to peer communication,"The searcher seeks information on peer to peer communication, particularly in contexts that involve collaboration and teamwork. They are interested in how this form of communication can be applied effectively.","Relevant documents will discuss various aspects of peer to peer communication, including its application in team settings and its impact on learning among peers. Documents that focus excessively on broader educational themes, such as mentoring or student interactions without a clear focus on peer communication, will be considered non-relevant."
00dea7cb26b0df14733b1aa2e48d4189,wattpad reading comprehension,The searcher is looking for studies or articles that explore the relationship between Wattpad usage and reading comprehension. They are particularly interested in user attitudes and classroom applications.,"Relevant documents should discuss how respondents perceive Wattpad's impact on reading comprehension, including its application in educational settings. Documents that focus on general reading skills, language speed, or children's reading comprehension without specific reference to Wattpad should be considered non-relevant."
69a3ac0c9cf2fb3bc0b2ceb56db2edfe,synthetic biology nasa,"The searcher is looking for information on NASA's involvement in synthetic biology, particularly any projects or teams associated with this field. They are interested in collaborations, initiatives, and outcomes related to synthetic biology within NASA.","Relevant documents should discuss NASA's synthetic biology projects, teams like iGEM, and contributions from institutions such as Stanford. Documents that focus on unrelated topics like thermal processes, metabolic pathways, or specific organisms such as Halomonas should be considered non-relevant."
220b79bfcc0380e3999edb61a0c103f6,artificial intelligence in education,"The searcher is looking for information on the applications and impact of artificial intelligence within the educational sector. This includes resources, content development, and educational reengineering.","Relevant documents should discuss the use of artificial intelligence in educational contexts, focusing on how it can enhance learning resources and improve educational practices. Documents that primarily address AI in unrelated fields, such as vocational education or those that do not connect AI to educational outcomes, should be considered non-relevant."
d7121387aa077f9d346a6b5a0378e5c6,procrastination among students,"This search seeks information on the phenomenon of procrastination specifically among students, focusing on its academic implications and psychological factors such as self-esteem.","Relevant documents will discuss the causes and effects of academic procrastination in college students, including studies on self-esteem and academic performance. Documents that primarily focus on unrelated topics such as smartphone usage, specific geographical locations like Pekanbaru, or general study habits without a focus on procrastination will be considered non-relevant."
71d9a4b88d17a62c956686dfb02a01fe,cannabis,The searcher is looking for information on cannabis cravings and associated imagery. They are particularly interested in studies or articles that discuss the psychological aspects of cannabis use.,"Relevant documents should focus on the relationship between cannabis cravings and imagery, including psychological studies or articles that explore these themes. Documents that discuss unrelated topics such as hospitalizations, psychosis, or general help resources are not relevant to this search."
4a9bc9a79372406264b38f180fbdf242,asphalt engine oil,"The searcher is looking for information on the properties, testing, and applications of asphalt engine oil, particularly focusing on its binder and rejuvenator characteristics.","Relevant documents will discuss the composition and performance of asphalt engine oil, including terms like 'binder', 'asphalt binder', and 'rejuvenators'. Documents that mention unrelated terms such as 'asbuton', 'microwave', or 'rheological' should be considered non-relevant, as they do not pertain to the specific characteristics and uses of asphalt engine oil."
a5c587bb204cb34e669e171074b6cf60,Which feeding pattern most strongly predicts eligibility for biomarker based treatment,The searcher is looking for studies that identify which feeding patterns are most predictive of eligibility for biomarker-based treatments in patients.,"Relevant documents should focus on the relationship between specific feeding patterns and their impact on biomarker eligibility, particularly in the context of metabolic studies and tumor-related research. Documents that discuss unrelated topics such as alcoholic behaviors, specific medications like sorafenib, or conditions like ADHD are not relevant to this search."
0311e191f7a1e1d2ee53d824a45c720f,"relationship between financial literacy, financial stress and academic success","This search seeks to explore the relationship between financial literacy, financial stress, and academic success among students, particularly in college settings. The focus is on understanding how these factors interact and impact student performance.","Relevant documents should discuss the connections between financial literacy, financial stress, and academic outcomes for students, emphasizing the college demographic. Documents that primarily address topics like investment strategies, spending habits, or general financial capability without linking to academic success should be considered non-relevant."
0e843d35dd1893ccc26b00ab27189a4a,theories about meco waste and coconut shell,"The searcher is looking for theories and research related to meco waste and its applications, particularly in relation to coconut shell usage. They are interested in innovative uses such as charcoal production, concrete, and briquettes.","Relevant documents should discuss theories and applications of meco waste and coconut shells, focusing on topics like charcoal, concrete, sand, and briquettes. Documents that primarily address unrelated topics such as fiber, industry, or coconut apple should be considered non-relevant."
c7f4279af1b23758d6477607a2bbcefa,balance in business profit and environmental sustainability,The searcher is looking for information on how businesses can achieve a balance between profitability and environmental sustainability. This includes practices and strategies that integrate corporate social responsibility (CSR) with financial success.,"Relevant documents should discuss concepts such as CSR, profitability, and practices that help businesses balance their financial goals with environmental sustainability. Documents that focus on carbon emissions, environmental performance without a connection to profitability, or general performance metrics without a sustainability context are not relevant."
0da32d60e3d3eb1c1ac82963dd1c3b57,vitamin b12,The searcher is looking for information on the role of vitamin B12 in infants and its importance for mothers. They are particularly interested in its effects on homocysteine levels and overall vitamin intake.,"Relevant documents should discuss the significance of vitamin B12 for infants and mothers, including its impact on homocysteine levels and total vitamin intake. Documents that focus on vitamin B12 deficiency, patients, or unrelated medical conditions should be considered non-relevant."
34d9a1bb0ba98481c5cc096ca817b7b2,virtual tour,The searcher is looking for information about virtual tours specifically related to buildings. They want to find resources that provide immersive experiences or detailed information about architectural sites.,"Relevant documents will include those that discuss virtual tours of various buildings, highlighting features, accessibility, and user experiences. Documents that focus on unrelated topics such as archaeological sites, pets, or technical terms like 'vt' and 'ct' should be considered non-relevant."
ecf8a42af61b9c2e9a23365128390266,the psychological factor affecting student entrepreneur,"This search seeks to explore the psychological factors that influence student entrepreneurs, focusing on aspects like hope and success. The goal is to identify how these factors contribute to entrepreneurial outcomes among students.","Relevant documents should discuss psychological elements such as hope, success, and the overall mindset of student entrepreneurs. Documents that focus primarily on financial aspects, market conditions, or transition theories without addressing psychological factors will be considered non-relevant."
bde93b8e8293890c7cbf1a42fbfede2b,green roof,"The searcher is looking for information on green roof systems, particularly their benefits and energy efficiency. They are interested in modular green roofs and their critical role in sustainable architecture.","Relevant documents will discuss the advantages of green roof systems, including energy savings and sustainability, while focusing on modular green roofs. Documents that primarily address general roofing, water management, urban development, or temperature control without a specific focus on green roofs will be considered non-relevant."
6d8e8990e464b9bfbe52609cd40ac00b,political science,The searcher is looking for academic studies and historical analyses related to political science. They are interested in understanding the meanings and developments within the field over the centuries.,"Relevant documents will focus on the theoretical and historical aspects of political science, including studies that explore its meanings and evolution. Documents that discuss unrelated topics such as conspiracy theories or individual opinions, particularly those that do not contribute to the academic discourse in political science, will be considered non-relevant."
