session_id,doc_variant,query_text,tfidf_terms,evidence,title,description,narrative,raw_output
d19e7b4de358bcfeb89e06095dc26419,contrastive,peer to peer communication,"{'rel': 'disability (0.130), peer peer (0.123), communication (0.102), team (0.092), learning (0.092)', 'non_rel': 'learning (0.142), peer (0.129), students (0.101), looping (0.100), mentoring (0.091)'}","Search query:
peer to peer communication

Important TF-IDF terms extracted from pseudo-relevant documents:
disability (0.130), peer peer (0.123), communication (0.102), team (0.092), learning (0.092)

Important TF-IDF terms extracted from non-relevant documents:
learning (0.142), peer (0.129), students (0.101), looping (0.100), mentoring (0.091)

Use the pseudo-relevant terms as positive evidence for the topic. Use the non-relevant terms as contrastive evidence, meaning they indicate what the topic should avoid.",Peer to Peer Communication Insights,"The searcher seeks information on peer to peer communication, particularly in contexts that involve collaboration and teamwork. They are interested in how this form of communication can be applied effectively.","Relevant documents will discuss various aspects of peer to peer communication, including its application in team settings and its impact on learning among peers. Documents that focus excessively on broader educational themes, such as mentoring or student interactions without a clear focus on peer communication, will be considered non-relevant.","```json
{
  ""title"": ""Peer to Peer Communication Insights"",
  ""description"": ""The searcher seeks information on peer to peer communication, particularly in contexts that involve collaboration and teamwork. They are interested in how this form of communication can be applied effectively."",
  ""narrative"": ""Relevant documents will discuss various aspects of peer to peer communication, including its application in team settings and its impact on learning among peers. Documents that focus excessively on broader educational themes, such as mentoring or student interactions without a clear focus on peer communication, will be considered non-relevant.""
}
```"
00dea7cb26b0df14733b1aa2e48d4189,contrastive,wattpad reading comprehension,"{'rel': 'respondents (0.153), attitude (0.095), class (0.082), application (0.082), use wattpad (0.077)', 'non_rel': 'language (0.146), speed (0.097), reading comprehension (0.090), children (0.087), skills (0.086)'}","Search query:
wattpad reading comprehension

Important TF-IDF terms extracted from pseudo-relevant documents:
respondents (0.153), attitude (0.095), class (0.082), application (0.082), use wattpad (0.077)

Important TF-IDF terms extracted from non-relevant documents:
language (0.146), speed (0.097), reading comprehension (0.090), children (0.087), skills (0.086)

Use the pseudo-relevant terms as positive evidence for the topic. Use the non-relevant terms as contrastive evidence, meaning they indicate what the topic should avoid.",Wattpad and Reading Comprehension Insights,The searcher is looking for studies or articles that explore the relationship between Wattpad usage and reading comprehension. They are particularly interested in user attitudes and classroom applications.,"Relevant documents should discuss how respondents perceive Wattpad's impact on reading comprehension, including its application in educational settings. Documents that focus on general reading skills, language speed, or children's reading comprehension without specific reference to Wattpad should be considered non-relevant.","```json
{
  ""title"": ""Wattpad and Reading Comprehension Insights"",
  ""description"": ""The searcher is looking for studies or articles that explore the relationship between Wattpad usage and reading comprehension. They are particularly interested in user attitudes and classroom applications."",
  ""narrative"": ""Relevant documents should discuss how respondents perceive Wattpad's impact on reading comprehension, including its application in educational settings. Documents that focus on general reading skills, language speed, or children's reading comprehension without specific reference to Wattpad should be considered non-relevant.""
}
```"
69a3ac0c9cf2fb3bc0b2ceb56db2edfe,contrastive,synthetic biology nasa,"{'rel': 'team (0.229), igem (0.178), brown (0.153), http (0.153), stanford (0.153)', 'non_rel': 'thermal (0.081), halomonas (0.079), metabolic (0.073), synthetic biology (0.067), biology (0.067)'}","Search query:
synthetic biology nasa

Important TF-IDF terms extracted from pseudo-relevant documents:
team (0.229), igem (0.178), brown (0.153), http (0.153), stanford (0.153)

Important TF-IDF terms extracted from non-relevant documents:
thermal (0.081), halomonas (0.079), metabolic (0.073), synthetic biology (0.067), biology (0.067)

Use the pseudo-relevant terms as positive evidence for the topic. Use the non-relevant terms as contrastive evidence, meaning they indicate what the topic should avoid.",NASA's Role in Synthetic Biology Research,"The searcher is looking for information on NASA's involvement in synthetic biology, particularly any projects or teams associated with this field. They are interested in collaborations, initiatives, and outcomes related to synthetic biology within NASA.","Relevant documents should discuss NASA's synthetic biology projects, teams like iGEM, and contributions from institutions such as Stanford. Documents that focus on unrelated topics like thermal processes, metabolic pathways, or specific organisms such as Halomonas should be considered non-relevant.","{
  ""title"": ""NASA's Role in Synthetic Biology Research"",
  ""description"": ""The searcher is looking for information on NASA's involvement in synthetic biology, particularly any projects or teams associated with this field. They are interested in collaborations, initiatives, and outcomes related to synthetic biology within NASA."",
  ""narrative"": ""Relevant documents should discuss NASA's synthetic biology projects, teams like iGEM, and contributions from institutions such as Stanford. Documents that focus on unrelated topics like thermal processes, metabolic pathways, or specific organisms such as Halomonas should be considered non-relevant.""
}"
220b79bfcc0380e3999edb61a0c103f6,contrastive,artificial intelligence in education,"{'rel': 'educational (0.161), content (0.092), reengineering (0.092), resources (0.087), reengineering educational (0.077)', 'non_rel': 'ai (0.099), intelligence ai (0.098), arabic (0.081), vocational education (0.076), vocational (0.076)'}","Search query:
artificial intelligence in education

Important TF-IDF terms extracted from pseudo-relevant documents:
educational (0.161), content (0.092), reengineering (0.092), resources (0.087), reengineering educational (0.077)

Important TF-IDF terms extracted from non-relevant documents:
ai (0.099), intelligence ai (0.098), arabic (0.081), vocational education (0.076), vocational (0.076)

Use the pseudo-relevant terms as positive evidence for the topic. Use the non-relevant terms as contrastive evidence, meaning they indicate what the topic should avoid.",Artificial Intelligence in Education,"The searcher is looking for information on the applications and impact of artificial intelligence within the educational sector. This includes resources, content development, and educational reengineering.","Relevant documents should discuss the use of artificial intelligence in educational contexts, focusing on how it can enhance learning resources and improve educational practices. Documents that primarily address AI in unrelated fields, such as vocational education or those that do not connect AI to educational outcomes, should be considered non-relevant.","{
  ""title"": ""Artificial Intelligence in Education"",
  ""description"": ""The searcher is looking for information on the applications and impact of artificial intelligence within the educational sector. This includes resources, content development, and educational reengineering."",
  ""narrative"": ""Relevant documents should discuss the use of artificial intelligence in educational contexts, focusing on how it can enhance learning resources and improve educational practices. Documents that primarily address AI in unrelated fields, such as vocational education or those that do not connect AI to educational outcomes, should be considered non-relevant.""
}"
d7121387aa077f9d346a6b5a0378e5c6,contrastive,procrastination among students,"{'rel': 'academic (0.288), academic procrastination (0.145), student (0.101), college (0.101), self esteem (0.094)', 'non_rel': 'academic (0.114), study (0.090), pekanbaru (0.082), la (0.081), smartphone (0.080)'}","Search query:
procrastination among students

Important TF-IDF terms extracted from pseudo-relevant documents:
academic (0.288), academic procrastination (0.145), student (0.101), college (0.101), self esteem (0.094)

Important TF-IDF terms extracted from non-relevant documents:
academic (0.114), study (0.090), pekanbaru (0.082), la (0.081), smartphone (0.080)

Use the pseudo-relevant terms as positive evidence for the topic. Use the non-relevant terms as contrastive evidence, meaning they indicate what the topic should avoid.",Procrastination Among College Students,"This search seeks information on the phenomenon of procrastination specifically among students, focusing on its academic implications and psychological factors such as self-esteem.","Relevant documents will discuss the causes and effects of academic procrastination in college students, including studies on self-esteem and academic performance. Documents that primarily focus on unrelated topics such as smartphone usage, specific geographical locations like Pekanbaru, or general study habits without a focus on procrastination will be considered non-relevant.","{
  ""title"": ""Procrastination Among College Students"",
  ""description"": ""This search seeks information on the phenomenon of procrastination specifically among students, focusing on its academic implications and psychological factors such as self-esteem."",
  ""narrative"": ""Relevant documents will discuss the causes and effects of academic procrastination in college students, including studies on self-esteem and academic performance. Documents that primarily focus on unrelated topics such as smartphone usage, specific geographical locations like Pekanbaru, or general study habits without a focus on procrastination will be considered non-relevant.""
}"
71d9a4b88d17a62c956686dfb02a01fe,contrastive,cannabis,"{'rel': 'images (0.219), craving (0.197), image (0.197), cannabis craving (0.131), tobacco (0.131)', 'non_rel': 'help (0.130), hospitalizations (0.101), connectivity (0.089), psychosis (0.082), mla (0.081)'}","Search query:
cannabis

Important TF-IDF terms extracted from pseudo-relevant documents:
images (0.219), craving (0.197), image (0.197), cannabis craving (0.131), tobacco (0.131)

Important TF-IDF terms extracted from non-relevant documents:
help (0.130), hospitalizations (0.101), connectivity (0.089), psychosis (0.082), mla (0.081)

Use the pseudo-relevant terms as positive evidence for the topic. Use the non-relevant terms as contrastive evidence, meaning they indicate what the topic should avoid.",Cannabis Craving and Related Imagery,The searcher is looking for information on cannabis cravings and associated imagery. They are particularly interested in studies or articles that discuss the psychological aspects of cannabis use.,"Relevant documents should focus on the relationship between cannabis cravings and imagery, including psychological studies or articles that explore these themes. Documents that discuss unrelated topics such as hospitalizations, psychosis, or general help resources are not relevant to this search.","```json
{
  ""title"": ""Cannabis Craving and Related Imagery"",
  ""description"": ""The searcher is looking for information on cannabis cravings and associated imagery. They are particularly interested in studies or articles that discuss the psychological aspects of cannabis use."",
  ""narrative"": ""Relevant documents should focus on the relationship between cannabis cravings and imagery, including psychological studies or articles that explore these themes. Documents that discuss unrelated topics such as hospitalizations, psychosis, or general help resources are not relevant to this search.""
}
```"
4a9bc9a79372406264b38f180fbdf242,contrastive,asphalt engine oil,"{'rel': 'binder (0.175), asphalt binder (0.164), testing (0.131), rejuvenators (0.088), cooking (0.088)', 'non_rel': 'asbuton (0.089), на (0.080), microwave (0.077), ash (0.074), rheological (0.063)'}","Search query:
asphalt engine oil

Important TF-IDF terms extracted from pseudo-relevant documents:
binder (0.175), asphalt binder (0.164), testing (0.131), rejuvenators (0.088), cooking (0.088)

Important TF-IDF terms extracted from non-relevant documents:
asbuton (0.089), на (0.080), microwave (0.077), ash (0.074), rheological (0.063)

Use the pseudo-relevant terms as positive evidence for the topic. Use the non-relevant terms as contrastive evidence, meaning they indicate what the topic should avoid.",Asphalt Engine Oil Properties and Applications,"The searcher is looking for information on the properties, testing, and applications of asphalt engine oil, particularly focusing on its binder and rejuvenator characteristics.","Relevant documents will discuss the composition and performance of asphalt engine oil, including terms like 'binder', 'asphalt binder', and 'rejuvenators'. Documents that mention unrelated terms such as 'asbuton', 'microwave', or 'rheological' should be considered non-relevant, as they do not pertain to the specific characteristics and uses of asphalt engine oil.","```json
{
  ""title"": ""Asphalt Engine Oil Properties and Applications"",
  ""description"": ""The searcher is looking for information on the properties, testing, and applications of asphalt engine oil, particularly focusing on its binder and rejuvenator characteristics."",
  ""narrative"": ""Relevant documents will discuss the composition and performance of asphalt engine oil, including terms like 'binder', 'asphalt binder', and 'rejuvenators'. Documents that mention unrelated terms such as 'asbuton', 'microwave', or 'rheological' should be considered non-relevant, as they do not pertain to the specific characteristics and uses of asphalt engine oil.""
}
```"
a5c587bb204cb34e669e171074b6cf60,contrastive,Which feeding pattern most strongly predicts eligibility for biomarker based treatment,"{'rel': 'pattern (0.122), tumour (0.118), glucose (0.106), metabolic (0.106), studies (0.090)', 'non_rel': 'alcoholic (0.111), sorafenib (0.098), hrv (0.097), treatment (0.090), adhd (0.084)'}","Search query:
Which feeding pattern most strongly predicts eligibility for biomarker based treatment

Important TF-IDF terms extracted from pseudo-relevant documents:
pattern (0.122), tumour (0.118), glucose (0.106), metabolic (0.106), studies (0.090)

Important TF-IDF terms extracted from non-relevant documents:
alcoholic (0.111), sorafenib (0.098), hrv (0.097), treatment (0.090), adhd (0.084)

Use the pseudo-relevant terms as positive evidence for the topic. Use the non-relevant terms as contrastive evidence, meaning they indicate what the topic should avoid.",Feeding Patterns and Biomarker Treatment Eligibility,The searcher is looking for studies that identify which feeding patterns are most predictive of eligibility for biomarker-based treatments in patients.,"Relevant documents should focus on the relationship between specific feeding patterns and their impact on biomarker eligibility, particularly in the context of metabolic studies and tumor-related research. Documents that discuss unrelated topics such as alcoholic behaviors, specific medications like sorafenib, or conditions like ADHD are not relevant to this search.","```json
{
  ""title"": ""Feeding Patterns and Biomarker Treatment Eligibility"",
  ""description"": ""The searcher is looking for studies that identify which feeding patterns are most predictive of eligibility for biomarker-based treatments in patients."",
  ""narrative"": ""Relevant documents should focus on the relationship between specific feeding patterns and their impact on biomarker eligibility, particularly in the context of metabolic studies and tumor-related research. Documents that discuss unrelated topics such as alcoholic behaviors, specific medications like sorafenib, or conditions like ADHD are not relevant to this search.""
}
```"
0311e191f7a1e1d2ee53d824a45c720f,contrastive,"relationship between financial literacy, financial stress and academic success","{'rel': 'students (0.169), college (0.103), factors (0.099), financial literacy (0.091), student financial (0.070)', 'non_rel': 'investment (0.104), spending (0.103), spending habits (0.090), habits (0.090), financial capability (0.085)'}","Search query:
relationship between financial literacy, financial stress and academic success

Important TF-IDF terms extracted from pseudo-relevant documents:
students (0.169), college (0.103), factors (0.099), financial literacy (0.091), student financial (0.070)

Important TF-IDF terms extracted from non-relevant documents:
investment (0.104), spending (0.103), spending habits (0.090), habits (0.090), financial capability (0.085)

Use the pseudo-relevant terms as positive evidence for the topic. Use the non-relevant terms as contrastive evidence, meaning they indicate what the topic should avoid.",Financial Literacy and Academic Success,"This search seeks to explore the relationship between financial literacy, financial stress, and academic success among students, particularly in college settings. The focus is on understanding how these factors interact and impact student performance.","Relevant documents should discuss the connections between financial literacy, financial stress, and academic outcomes for students, emphasizing the college demographic. Documents that primarily address topics like investment strategies, spending habits, or general financial capability without linking to academic success should be considered non-relevant.","```json
{
  ""title"": ""Financial Literacy and Academic Success"",
  ""description"": ""This search seeks to explore the relationship between financial literacy, financial stress, and academic success among students, particularly in college settings. The focus is on understanding how these factors interact and impact student performance."",
  ""narrative"": ""Relevant documents should discuss the connections between financial literacy, financial stress, and academic outcomes for students, emphasizing the college demographic. Documents that primarily address topics like investment strategies, spending habits, or general financial capability without linking to academic success should be considered non-relevant.""
}
```"
0e843d35dd1893ccc26b00ab27189a4a,contrastive,theories about meco waste and coconut shell,"{'rel': 'charcoal (0.190), concrete (0.137), sand (0.124), briquettes (0.122), cocodust (0.099)', 'non_rel': 'fiber (0.091), industry (0.086), concrete (0.078), asr (0.078), coconut apple (0.075)'}","Search query:
theories about meco waste and coconut shell

Important TF-IDF terms extracted from pseudo-relevant documents:
charcoal (0.190), concrete (0.137), sand (0.124), briquettes (0.122), cocodust (0.099)

Important TF-IDF terms extracted from non-relevant documents:
fiber (0.091), industry (0.086), concrete (0.078), asr (0.078), coconut apple (0.075)

Use the pseudo-relevant terms as positive evidence for the topic. Use the non-relevant terms as contrastive evidence, meaning they indicate what the topic should avoid.",Meco Waste and Coconut Shell Theories,"The searcher is looking for theories and research related to meco waste and its applications, particularly in relation to coconut shell usage. They are interested in innovative uses such as charcoal production, concrete, and briquettes.","Relevant documents should discuss theories and applications of meco waste and coconut shells, focusing on topics like charcoal, concrete, sand, and briquettes. Documents that primarily address unrelated topics such as fiber, industry, or coconut apple should be considered non-relevant.","```json
{
  ""title"": ""Meco Waste and Coconut Shell Theories"",
  ""description"": ""The searcher is looking for theories and research related to meco waste and its applications, particularly in relation to coconut shell usage. They are interested in innovative uses such as charcoal production, concrete, and briquettes."",
  ""narrative"": ""Relevant documents should discuss theories and applications of meco waste and coconut shells, focusing on topics like charcoal, concrete, sand, and briquettes. Documents that primarily address unrelated topics such as fiber, industry, or coconut apple should be considered non-relevant.""
}
```"
