session_id,persona,reference_query,best_prediction,best_pred_number,best_similarity,avg_similarity,ranked_predictions,all_similarities,best_sbert_similarity,avg_sbert_similarity,all_sbert_similarities
0,Academic Researcher,Using Fuzzy,fuzzy logic applications,2,0.2606,0.226,fuzzy logic applications | fuzzy function approximators | fuzzy systems function approximation | function approximators in fuzzy logic | fuzzy systems types and architectures,P1=0.1943(Rank4) | P2=0.2606(Rank1) | P3=0.1943(Rank5) | P4=0.2203(Rank3) | P5=0.2606(Rank2),0.805,0.6797,P1=0.6388 | P2=0.805 | P3=0.6476 | P4=0.615 | P5=0.6922
1,Engineering & Tech Developer,optical filters,types of optical filters,5,0.5797,0.2202,types of optical filters | optical filter materials | optical amplifier design | semiconductor materials | signal attenuation reduction techniques,P1=0.2606(Rank2) | P2=0.0(Rank4) | P3=0.2606(Rank3) | P4=0.0(Rank5) | P5=0.5797(Rank1),0.868,0.538,P1=0.8339 | P2=0.1852 | P3=0.5306 | P4=0.2724 | P5=0.868
2,Sustainability & Climate Researcher,Research on Narrative Space Design,narrative sustainability design,5,0.3563,0.1897,narrative sustainability design | narrative architecture design concepts | researcher chemical space | sustainable landscape design | chemical compounds,P1=0.1506(Rank3) | P2=0.2912(Rank2) | P3=0.0(Rank5) | P4=0.1506(Rank4) | P5=0.3563(Rank1),0.7575,0.3796,P1=0.2825 | P2=0.7575 | P3=-0.0294 | P4=0.2508 | P5=0.6365
3,Academic Researcher,"Approximation, Randomization, and Combinatorial Optimization. Algorithms and Techniques - 14th International Workshop, APPROX 2011, and 15th International Workshop, RANDOM 2011, Princeton, NJ, USA, August 17-19, 2011. Proceedings",approximation algorithms combinatorial optimization,4,0.2222,0.1261,approximation algorithms combinatorial optimization | approximation algorithms techniques | linear programming approximation algorithms | approximation algorithms randomized primal dual | randomized algorithm techniques,P1=0.1913(Rank2) | P2=0.049(Rank5) | P3=0.09(Rank3) | P4=0.2222(Rank1) | P5=0.078(Rank4),0.7626,0.6211,P1=0.5711 | P2=0.6421 | P3=0.5846 | P4=0.7626 | P5=0.545
4,Student Researcher,Stress personality,stress personality traits,1,0.7093,0.5337,stress personality traits | stress and personality disorders | stress coping personality types | personality traits stress management | extraversion stress resilience research,P1=0.7093(Rank1) | P2=0.5797(Rank2) | P3=0.5797(Rank3) | P4=0.2203(Rank5) | P5=0.5797(Rank4),0.9462,0.8161,P1=0.9462 | P2=0.8459 | P3=0.8256 | P4=0.5691 | P5=0.8936
5,Student Researcher,jasminum sambac enhancing productivity,jasminum sambac benefits,5,0.4112,0.2688,jasminum sambac benefits | jasminum sambac essential oils | jasminum sambac cognitive benefits | jasminum sambac scent effects on cognition | jasmine cognition benefits,P1=0.2606(Rank4) | P2=0.3361(Rank2) | P3=0.3361(Rank3) | P4=0.0(Rank5) | P5=0.4112(Rank1),0.8573,0.6064,P1=0.5786 | P2=0.6778 | P3=0.7864 | P4=0.1317 | P5=0.8573
6,Engineering & Tech Developer,Implementation of contactless check-in hotels,contactless checkin systems for small hotels,3,0.202,0.141,contactless checkin systems for small hotels | contactless hotel systems | contactless hotel technology | contactless checkin best practices | contactless hotel checkin example,P1=0.1363(Rank2) | P2=0.1152(Rank4) | P3=0.202(Rank1) | P4=0.1363(Rank3) | P5=0.1152(Rank5),0.8729,0.7953,P1=0.8008 | P2=0.6824 | P3=0.8729 | P4=0.7684 | P5=0.8519
7,Healthcare & Life Sciences Researcher,Intervention or Phlebitis,Phlebitis Prevention,1,0.2606,0.2034,Phlebitis Prevention | phlebitis prevention interventions | phlebitis prevention guidelines | phlebitis treatment guidelines | phlebitis rcts PIVC care prevention,P1=0.2606(Rank1) | P2=0.1506(Rank5) | P3=0.202(Rank2) | P4=0.202(Rank3) | P5=0.202(Rank4),0.8675,0.8012,P1=0.8257 | P2=0.6818 | P3=0.8675 | P4=0.8118 | P5=0.8193
8,Academic Researcher,Tallinn Manual 1.0,tallinn manual definitions,2,0.7093,0.2944,tallinn manual definitions | tallinn manual cyber warfare principles | tallinn cyberwar principles | cyber warfare scenario analysis | cyber warfare law terminology,P1=0.2606(Rank3) | P2=0.7093(Rank1) | P3=0.0(Rank4) | P4=0.0(Rank5) | P5=0.5023(Rank2),0.8483,0.415,P1=0.5167 | P2=0.8483 | P3=0.0799 | P4=0.0313 | P5=0.5987
9,Policy & Security Analyst,political economy  in nigeria,nigerian political economy,4,0.4112,0.1453,nigerian political economy | nigeria economic policy | nigeria gdp growth rate | nigerian government economic policy | nigerian energy policies,P1=0.0(Rank4) | P2=0.1444(Rank3) | P3=0.0(Rank5) | P4=0.4112(Rank1) | P5=0.1708(Rank2),0.9682,0.7584,P1=0.7968 | P2=0.625 | P3=0.6025 | P4=0.9682 | P5=0.7994
10,Engineering & Tech Developer,hibiscus flower extract dyeing”,rose petal flower extract dyeing,3,0.5101,0.1843,rose petal flower extract dyeing | flower extract dye | natural plant dyes list | plant based natural dye recipes | natural dyes options,P1=0.0(Rank3) | P2=0.4112(Rank2) | P3=0.5101(Rank1) | P4=0.0(Rank4) | P5=0.0(Rank5),0.8118,0.6493,P1=0.591 | P2=0.8118 | P3=0.7505 | P4=0.5837 | P5=0.5097
